response_id,mode,status,attention_check,duration_seconds,region,county,age,gender,race_ethnicity,education,party_registration,ideology,vote_2024,homeownership,children_home,housing_cost_seriousness,allow_more_housing,rent_increase_limit,affordable_housing_tax_credits,development_traffic_concern,corporate_buyer_restrictions,public_land_housing,housing_priority_tradeoff
NVH00565,sms,complete,Passed,469,Clark,Clark,26,Female,White non-Hispanic,College graduate,Republican,Very conservative,Trump,Own,No,Somewhat serious,Somewhat support,Strongly oppose,Strongly support,Very concerned,Somewhat support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00566,online,complete,Passed,1159,Clark,Clark,29,Female,White non-Hispanic,Postgraduate,Republican,Somewhat conservative,Trump,Own,No,Not too serious,Strongly oppose,Strongly oppose,Not sure,Not too concerned,Somewhat support,Strongly support,Build more homes even if neighborhoods change
NVH00567,online,complete,Passed,877,Clark,Clark,31,Female,White non-Hispanic,High school or less,Republican,Very conservative,Harris,Rent,No,Very serious,Somewhat support,Somewhat support,Somewhat oppose,Very concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00568,online,complete,Passed,755,Clark,Clark,62,Male,White non-Hispanic,Postgraduate,Democrat,Somewhat liberal,Harris,Rent,No,Somewhat serious,Somewhat support,Strongly support,Strongly oppose,Somewhat concerned,Strongly oppose,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00569,online,complete,Passed,1434,Washoe,Washoe,25,Female,White non-Hispanic,College graduate,Independent/Other,Somewhat liberal,Trump,Own,Yes,Very serious,Somewhat support,Somewhat support,Not sure,Somewhat concerned,Not sure,Somewhat support,Build more homes even if neighborhoods change
NVH00570,online,complete,Passed,579,Clark,Clark,30,Female,White non-Hispanic,High school or less,Democrat,Somewhat liberal,Harris,Rent,Yes,Very serious,Strongly support,Somewhat support,Somewhat support,Somewhat concerned,Strongly oppose,Somewhat support,Not sure
NVH00571,online,complete,Passed,1190,Clark,Clark,56,Female,White non-Hispanic,Some college/associate,Democrat,Moderate,Harris,Own,No,Somewhat serious,Somewhat support,Somewhat support,Strongly oppose,Somewhat concerned,Somewhat oppose,Strongly oppose,Not sure
NVH00572,online,complete,Passed,781,Washoe,Washoe,49,Male,Hispanic/Latino,High school or less,Independent/Other,Moderate,Trump,Own,Yes,Very serious,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat concerned,Strongly support,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00573,online,complete,Passed,1118,Clark,Clark,80,Male,Hispanic/Latino,College graduate,Independent/Other,Somewhat conservative,Harris,Own,No,Very serious,Strongly oppose,Strongly support,Somewhat oppose,Somewhat concerned,Strongly support,Not sure,Protect existing neighborhoods even if fewer homes are built
NVH00574,sms,complete,Passed,628,Clark,Clark,25,Male,Black,Postgraduate,Independent/Other,Somewhat liberal,Trump,Rent,No,Somewhat serious,Strongly support,Strongly support,Somewhat oppose,Somewhat concerned,Somewhat support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00575,online,complete,Passed,539,Clark,Clark,26,Male,Hispanic/Latino,Some college/associate,Republican,Somewhat liberal,Trump,Rent,No,Somewhat serious,Somewhat support,Strongly support,Strongly oppose,Somewhat concerned,Somewhat support,Somewhat support,Build more homes even if neighborhoods change
NVH00576,online,terminated,Passed,179,Clark,Clark,20,Female,White non-Hispanic,Postgraduate,Independent/Other,Moderate,Trump,Rent,No,Very serious,Strongly support,Strongly support,Strongly oppose,Not too concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00577,online,complete,Failed,1398,Clark,Clark,24,Female,Other/Mixed,College graduate,Democrat,Moderate,Harris,Rent,No,Very serious,Strongly support,Strongly support,Strongly oppose,Not too concerned,Strongly support,Strongly support,Not sure
NVH00578,online,complete,Passed,1142,Clark,Clark,51,Male,Black,College graduate,Democrat,Somewhat liberal,Harris,Rent,No,Very serious,Somewhat oppose,Strongly support,Somewhat support,Very concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00579,sms,complete,Passed,1387,Clark,Clark,43,Female,Hispanic/Latino,Postgraduate,Independent/Other,Moderate,Trump,Own,No,Very serious,Somewhat support,Strongly support,Strongly oppose,Very concerned,Strongly support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00580,online,complete,Passed,454,Clark,Clark,68,Female,Hispanic/Latino,Some college/associate,Republican,Moderate,Harris,Own,No,Somewhat serious,Somewhat oppose,Somewhat oppose,Somewhat support,Somewhat concerned,Strongly support,Somewhat oppose,Not sure
NVH00581,online,partial,Passed,493,Clark,Clark,49,Male,Hispanic/Latino,College graduate,Independent/Other,Very conservative,Harris,Own,No,Somewhat serious,Somewhat support,Somewhat support,Somewhat support,Not too concerned,Somewhat support,Somewhat support,Not sure
NVH00582,online,complete,Passed,1043,Clark,Clark,45,Female,White non-Hispanic,College graduate,Republican,Somewhat conservative,Trump,Own,No,Very serious,Not sure,Somewhat oppose,Somewhat support,Very concerned,Somewhat oppose,Not sure,Build more homes even if neighborhoods change
NVH00583,sms,complete,Passed,1178,Clark,Clark,34,Female,White non-Hispanic,Some college/associate,Independent/Other,Somewhat liberal,Did not vote,Own,No,Somewhat serious,Somewhat support,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00584,online,complete,Failed,550,Clark,Clark,62,Female,White non-Hispanic,Some college/associate,Democrat,Somewhat liberal,Other,Rent,No,Very serious,Strongly support,Somewhat support,Strongly oppose,Somewhat concerned,Strongly support,Not sure,Build more homes even if neighborhoods change
NVH00585,online,complete,Passed,597,Clark,Clark,64,Male,White non-Hispanic,Postgraduate,Independent/Other,Somewhat liberal,Harris,Other arrangement,Yes,Very serious,Strongly support,Strongly support,Strongly oppose,Somewhat concerned,Strongly support,Strongly support,Not sure
NVH00586,sms,complete,Passed,1188,Clark,Clark,26,Male,White non-Hispanic,Some college/associate,Independent/Other,Very conservative,Trump,Rent,Yes,Very serious,Strongly support,Somewhat support,Not sure,Somewhat concerned,Somewhat support,Strongly oppose,Build more homes even if neighborhoods change
NVH00587,online,complete,Failed,906,Clark,Clark,27,Male,Hispanic/Latino,College graduate,Independent/Other,Somewhat liberal,Trump,Own,Yes,Very serious,Strongly support,Strongly oppose,Strongly oppose,Very concerned,Somewhat support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00588,online,complete,Passed,1162,Clark,Clark,28,Male,Hispanic/Latino,College graduate,Independent/Other,Moderate,Trump,Own,Yes,Very serious,Somewhat support,Strongly support,Somewhat oppose,Not too concerned,Strongly support,Strongly support,Not sure
NVH00589,online,complete,Passed,1153,Clark,Clark,64,Male,White non-Hispanic,High school or less,Independent/Other,Moderate,Other,Rent,No,Very serious,Strongly support,Strongly oppose,Somewhat oppose,Very concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00590,sms,complete,Passed,352,Clark,Clark,46,Male,Black,High school or less,Independent/Other,Moderate,Trump,Own,No,Very serious,Strongly oppose,Not sure,Somewhat oppose,Not too concerned,Somewhat oppose,Strongly support,Build more homes even if neighborhoods change
NVH00591,sms,partial,Passed,1444,Clark,Clark,48,Male,Hispanic/Latino,College graduate,Republican,Somewhat liberal,Trump,Own,No,Somewhat serious,Somewhat support,Strongly oppose,Strongly support,Very concerned,Strongly support,Somewhat oppose,Not sure
NVH00592,sms,complete,Passed,356,Clark,Clark,22,Male,Hispanic/Latino,Some college/associate,Independent/Other,Somewhat conservative,Harris,Own,No,Very serious,Somewhat support,Somewhat oppose,Strongly support,Not too concerned,Somewhat support,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00593,online,complete,Passed,292,Clark,Clark,79,Female,White non-Hispanic,Some college/associate,Independent/Other,Moderate,Did not vote,Own,No,Somewhat serious,Strongly oppose,Somewhat support,Somewhat oppose,Somewhat concerned,Somewhat support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00594,sms,complete,Passed,586,Clark,Clark,34,Female,White non-Hispanic,Some college/associate,Independent/Other,Very conservative,Trump,Own,No,Not too serious,Somewhat support,Strongly support,Strongly oppose,Somewhat concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00595,online,complete,Passed,617,Clark,Clark,80,Male,White non-Hispanic,Some college/associate,Independent/Other,Very conservative,Did not vote,Own,No,Very serious,Somewhat oppose,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00596,online,complete,Passed,354,Clark,Clark,60,Male,White non-Hispanic,Some college/associate,Independent/Other,Moderate,Trump,Own,Yes,Very serious,Somewhat support,Somewhat support,Strongly oppose,Very concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00597,online,complete,Passed,643,Clark,Clark,20,Female,White non-Hispanic,High school or less,Democrat,Somewhat liberal,Harris,Rent,No,Very serious,Strongly support,Strongly support,Strongly oppose,Somewhat concerned,Somewhat oppose,Strongly support,Build more homes even if neighborhoods change
NVH00598,sms,partial,Passed,1266,Rural Nevada,Nye,53,Male,Hispanic/Latino,College graduate,Republican,Very conservative,Trump,Own,No,Somewhat serious,Strongly oppose,Somewhat oppose,Strongly support,Very concerned,Somewhat oppose,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00599,sms,complete,Passed,867,Clark,Clark,37,Male,White non-Hispanic,College graduate,Republican,Very conservative,Trump,Own,Yes,Very serious,Strongly oppose,Somewhat oppose,Somewhat oppose,Somewhat concerned,Strongly support,Strongly support,Not sure
NVH00600,online,complete,Failed,782,Clark,Clark,62,Male,Hispanic/Latino,Postgraduate,Democrat,Very liberal,Harris,Rent,No,Somewhat serious,Strongly support,Strongly support,Somewhat support,Somewhat concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00601,online,complete,Passed,501,Clark,Clark,56,Female,Other/Mixed,College graduate,Independent/Other,Moderate,Harris,Rent,No,Very serious,Strongly support,Somewhat oppose,Strongly support,Not too concerned,Somewhat oppose,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00602,online,complete,Passed,237,Clark,Clark,64,Female,Asian/Pacific Islander,Some college/associate,Independent/Other,Somewhat conservative,Harris,Own,No,Very serious,Somewhat oppose,Somewhat oppose,Strongly oppose,Very concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00603,sms,complete,Passed,853,Clark,Clark,54,Male,White non-Hispanic,High school or less,Republican,Somewhat conservative,Other,Rent,No,Very serious,Strongly oppose,Strongly support,Somewhat oppose,Not too concerned,Somewhat support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00604,online,complete,Passed,1248,Clark,Clark,29,Female,White non-Hispanic,High school or less,Republican,Very liberal,Trump,Rent,No,Very serious,Strongly support,Somewhat oppose,Somewhat oppose,Somewhat concerned,Somewhat support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00605,online,complete,Passed,1362,Clark,Clark,75,Male,White non-Hispanic,Some college/associate,Democrat,Somewhat conservative,Harris,Rent,No,Very serious,Somewhat support,Strongly support,Strongly oppose,Somewhat concerned,Strongly support,Somewhat support,Not sure
NVH00606,sms,complete,Passed,347,Clark,Clark,35,Female,Other/Mixed,High school or less,Democrat,Very liberal,Harris,Rent,Yes,Very serious,Somewhat oppose,Strongly support,Somewhat oppose,Not too concerned,Strongly support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00607,sms,complete,Passed,1427,Clark,Clark,32,Male,Asian/Pacific Islander,Some college/associate,Independent/Other,Moderate,Harris,Own,No,Very serious,Somewhat support,Strongly support,Somewhat oppose,Somewhat concerned,Strongly support,Not sure,Build more homes even if neighborhoods change
NVH00608,sms,complete,Failed,352,Washoe,Washoe,37,Female,Hispanic/Latino,College graduate,Republican,Very conservative,Trump,Own,No,Somewhat serious,Somewhat support,Somewhat oppose,Somewhat oppose,Very concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00609,sms,complete,Passed,677,Clark,Clark,48,Female,White non-Hispanic,College graduate,Democrat,Moderate,Harris,Rent,Yes,Somewhat serious,Strongly support,Somewhat oppose,Somewhat oppose,Somewhat concerned,Somewhat support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00610,online,complete,Passed,500,Rural Nevada,Elko,27,Male,White non-Hispanic,Some college/associate,Republican,Moderate,Harris,Rent,Yes,Very serious,Strongly oppose,Somewhat support,Somewhat oppose,Not too concerned,Not sure,Somewhat support,Build more homes even if neighborhoods change
NVH00611,sms,complete,Passed,867,Clark,Clark,74,Male,White non-Hispanic,College graduate,Independent/Other,Moderate,Harris,Rent,Yes,Somewhat serious,Strongly support,Somewhat support,Strongly oppose,Somewhat concerned,Somewhat support,Strongly oppose,Not sure
NVH00612,online,complete,Passed,265,Rural Nevada,Douglas,53,Male,Hispanic/Latino,Some college/associate,Democrat,Moderate,Harris,Own,No,Somewhat serious,Strongly oppose,Somewhat support,Strongly support,Not too concerned,Strongly support,Somewhat oppose,Not sure
NVH00613,online,complete,Passed,1372,Clark,Clark,35,Female,White non-Hispanic,Postgraduate,Independent/Other,Somewhat conservative,Trump,Rent,No,Very serious,Strongly support,Somewhat support,Strongly oppose,Somewhat concerned,Somewhat support,Strongly oppose,Not sure
NVH00614,online,complete,Passed,334,Clark,Clark,19,Female,Black,Postgraduate,Democrat,Very liberal,Other,Rent,No,Very serious,Strongly support,Somewhat support,Somewhat oppose,Not too concerned,Somewhat oppose,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00615,online,complete,Passed,1142,Clark,Clark,28,Male,White non-Hispanic,High school or less,Republican,Moderate,Trump,Rent,No,Very serious,Somewhat oppose,Not sure,Somewhat oppose,Not too concerned,Somewhat support,Somewhat oppose,Not sure
NVH00616,online,complete,Passed,519,Clark,Clark,24,Male,Hispanic/Latino,College graduate,Independent/Other,Somewhat conservative,Harris,Own,No,Somewhat serious,Strongly support,Somewhat support,Strongly oppose,Very concerned,Strongly support,Not sure,Build more homes even if neighborhoods change
NVH00617,sms,complete,Passed,562,Clark,Clark,46,Male,Asian/Pacific Islander,Postgraduate,Democrat,Very liberal,Harris,Rent,No,Very serious,Somewhat oppose,Somewhat support,Somewhat oppose,Not too concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00618,sms,complete,Passed,749,Clark,Clark,19,Female,Hispanic/Latino,Postgraduate,Democrat,Moderate,Harris,Rent,No,Somewhat serious,Somewhat support,Strongly support,Somewhat oppose,Very concerned,Somewhat oppose,Somewhat support,Not sure
NVH00619,online,complete,Passed,604,Clark,Clark,21,Male,Other/Mixed,High school or less,Democrat,Moderate,Trump,Rent,No,Very serious,Somewhat support,Somewhat support,Somewhat support,Not too concerned,Somewhat support,Somewhat oppose,Not sure
NVH00620,online,complete,Passed,1259,Clark,Clark,21,Female,White non-Hispanic,Some college/associate,Democrat,Moderate,Did not vote,Rent,Yes,Very serious,Somewhat oppose,Strongly support,Somewhat support,Very concerned,Somewhat support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00621,online,complete,Passed,395,Clark,Clark,56,Female,White non-Hispanic,High school or less,Republican,Somewhat conservative,Trump,Own,No,Not too serious,Somewhat support,Not sure,Strongly oppose,Not too concerned,Somewhat support,Somewhat support,Build more homes even if neighborhoods change
NVH00622,online,partial,Passed,1377,Washoe,Washoe,22,Male,White non-Hispanic,High school or less,Democrat,Somewhat liberal,Harris,Rent,No,Very serious,Strongly support,Strongly support,Somewhat oppose,Not too concerned,Somewhat oppose,Strongly support,Build more homes even if neighborhoods change
NVH00623,online,complete,Passed,172,Clark,Clark,42,Female,Hispanic/Latino,Some college/associate,Republican,Somewhat conservative,Trump,Own,No,Somewhat serious,Somewhat support,Strongly support,Not sure,Somewhat concerned,Not sure,Somewhat support,Build more homes even if neighborhoods change
NVH00624,online,complete,Passed,691,Washoe,Washoe,31,Female,Hispanic/Latino,Some college/associate,Democrat,Very liberal,Harris,Rent,Yes,Very serious,Somewhat oppose,Somewhat support,Somewhat oppose,Not too concerned,Not sure,Strongly oppose,Build more homes even if neighborhoods change
NVH00625,online,partial,Passed,557,Rural Nevada,Elko,47,Female,Asian/Pacific Islander,Some college/associate,Republican,Moderate,Trump,Own,Yes,Somewhat serious,Not sure,Not sure,Somewhat oppose,Somewhat concerned,Somewhat support,Strongly support,Build more homes even if neighborhoods change
NVH00626,online,complete,Passed,374,Washoe,Washoe,22,Female,White non-Hispanic,College graduate,Democrat,Somewhat liberal,Harris,Rent,No,Very serious,Strongly support,Not sure,Somewhat support,Very concerned,Strongly support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00627,sms,complete,Passed,868,Clark,Clark,18,Male,Asian/Pacific Islander,Postgraduate,Republican,Very conservative,Trump,Rent,No,Very serious,Strongly support,Somewhat oppose,Somewhat support,Somewhat concerned,Somewhat support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00628,online,complete,Passed,1447,Clark,Clark,37,Female,White non-Hispanic,College graduate,Independent/Other,Somewhat liberal,Trump,Own,No,Very serious,Somewhat support,Somewhat support,Strongly oppose,Somewhat concerned,Not sure,Strongly support,Build more homes even if neighborhoods change
NVH00629,sms,complete,Passed,547,Clark,Clark,30,Female,White non-Hispanic,High school or less,Republican,Very conservative,Trump,Rent,No,Very serious,Strongly support,Somewhat support,Somewhat support,Not too concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00630,sms,complete,Passed,539,Clark,Clark,63,Male,White non-Hispanic,Some college/associate,Democrat,Somewhat liberal,Harris,Own,No,Somewhat serious,Strongly support,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Not sure,Build more homes even if neighborhoods change
NVH00631,online,complete,Passed,329,Clark,Clark,23,Female,White non-Hispanic,Some college/associate,Republican,Very conservative,Trump,Own,No,Very serious,Somewhat oppose,Somewhat oppose,Strongly support,Not too concerned,Strongly support,Somewhat oppose,Not sure
NVH00632,online,complete,Passed,231,Clark,Clark,77,Female,White non-Hispanic,College graduate,Democrat,Somewhat liberal,Trump,Own,No,Not too serious,Strongly oppose,Strongly support,Strongly oppose,Not too concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00633,sms,complete,Failed,1382,Rural Nevada,Elko,36,Female,Black,College graduate,Democrat,Somewhat liberal,Harris,Own,No,Very serious,Somewhat support,Somewhat oppose,Strongly support,Very concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00634,online,complete,Passed,1154,Clark,Clark,27,Female,Hispanic/Latino,Some college/associate,Republican,Moderate,Trump,Own,No,Very serious,Not sure,Strongly oppose,Strongly support,Somewhat concerned,Strongly support,Strongly oppose,Build more homes even if neighborhoods change
NVH00635,sms,complete,Passed,1316,Clark,Clark,51,Female,White non-Hispanic,Postgraduate,Democrat,Somewhat liberal,Harris,Own,No,Very serious,Strongly support,Somewhat support,Somewhat oppose,Very concerned,Somewhat support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00636,sms,complete,Passed,510,Clark,Clark,25,Female,Black,High school or less,Democrat,Very liberal,Harris,Own,Yes,Very serious,Strongly support,Somewhat support,Somewhat support,Not too concerned,Not sure,Somewhat support,Build more homes even if neighborhoods change
NVH00637,sms,complete,Passed,1240,Clark,Clark,62,Female,Other/Mixed,Postgraduate,Democrat,Very liberal,Harris,Own,No,Very serious,Strongly support,Strongly support,Somewhat oppose,Very concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00638,online,complete,Failed,1048,Clark,Clark,23,Male,White non-Hispanic,College graduate,Republican,Very conservative,Did not vote,Own,No,Very serious,Strongly support,Somewhat support,Strongly support,Somewhat concerned,Somewhat support,Strongly support,Not sure
NVH00639,sms,complete,Failed,540,Washoe,Washoe,20,Male,Hispanic/Latino,Postgraduate,Independent/Other,Moderate,Did not vote,Own,No,Somewhat serious,Strongly support,Somewhat oppose,Somewhat support,Very concerned,Somewhat oppose,Strongly oppose,Not sure
NVH00640,online,complete,Passed,974,Clark,Clark,45,Male,Other/Mixed,High school or less,Democrat,Moderate,Harris,Rent,No,Somewhat serious,Somewhat support,Strongly support,Somewhat support,Very concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00641,online,complete,Passed,1135,Clark,Clark,61,Male,Hispanic/Latino,College graduate,Independent/Other,Somewhat conservative,Did not vote,Own,No,Somewhat serious,Somewhat oppose,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Not sure,Build more homes even if neighborhoods change
NVH00642,online,complete,Passed,660,Clark,Clark,19,Male,Black,Postgraduate,Republican,Somewhat conservative,Trump,Rent,No,Very serious,Somewhat oppose,Strongly support,Strongly oppose,Very concerned,Somewhat oppose,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00643,online,complete,Passed,188,Clark,Clark,45,Male,Black,High school or less,Republican,Somewhat conservative,Trump,Own,Yes,Very serious,Somewhat support,Somewhat support,Somewhat support,Very concerned,Strongly support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00644,sms,complete,Passed,482,Clark,Clark,41,Male,Hispanic/Latino,College graduate,Republican,Very conservative,Did not vote,Rent,Yes,Very serious,Strongly support,Not sure,Somewhat oppose,Very concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00645,online,complete,Passed,1303,Clark,Clark,19,Female,White non-Hispanic,Some college/associate,Independent/Other,Very conservative,Other,Rent,No,Very serious,Somewhat support,Strongly support,Somewhat support,Somewhat concerned,Strongly support,Strongly oppose,Build more homes even if neighborhoods change
NVH00646,online,complete,Passed,746,Clark,Clark,70,Female,Hispanic/Latino,College graduate,Democrat,Moderate,Harris,Own,No,Somewhat serious,Strongly support,Strongly support,Strongly support,Very concerned,Somewhat oppose,Somewhat support,Build more homes even if neighborhoods change
NVH00647,online,complete,Passed,1287,Rural Nevada,Douglas,35,Male,White non-Hispanic,College graduate,Republican,Very conservative,Trump,Own,No,Not too serious,Strongly oppose,Strongly oppose,Strongly support,Somewhat concerned,Somewhat oppose,Somewhat oppose,Build more homes even if neighborhoods change
NVH00648,online,complete,Passed,857,Clark,Clark,58,Female,White non-Hispanic,College graduate,Democrat,Very liberal,Harris,Own,No,Very serious,Somewhat support,Somewhat support,Somewhat oppose,Somewhat concerned,Not sure,Somewhat oppose,Build more homes even if neighborhoods change
NVH00649,online,complete,Passed,1291,Rural Nevada,Humboldt,20,Female,White non-Hispanic,Some college/associate,Democrat,Somewhat liberal,Harris,Own,No,Somewhat serious,Somewhat oppose,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Strongly support,Build more homes even if neighborhoods change
NVH00650,online,complete,Failed,1439,Rural Nevada,Nye,61,Female,Black,College graduate,Independent/Other,Somewhat liberal,Harris,Own,No,Not too serious,Strongly oppose,Somewhat oppose,Somewhat oppose,Very concerned,Strongly support,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00651,online,complete,Passed,885,Washoe,Washoe,25,Male,White non-Hispanic,Some college/associate,Democrat,Moderate,Harris,Own,No,Somewhat serious,Strongly support,Somewhat support,Strongly support,Very concerned,Somewhat support,Somewhat oppose,Not sure
NVH00652,online,complete,Passed,449,Clark,Clark,51,Male,White non-Hispanic,College graduate,Republican,Very conservative,Other,Own,No,Very serious,Somewhat oppose,Not sure,Somewhat support,Somewhat concerned,Somewhat support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00653,online,complete,Passed,530,Clark,Clark,42,Male,White non-Hispanic,Some college/associate,Independent/Other,Somewhat conservative,Trump,Rent,Yes,Very serious,Not sure,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Strongly support,Build more homes even if neighborhoods change
NVH00654,sms,partial,Passed,889,Clark,Clark,25,Female,White non-Hispanic,Postgraduate,Democrat,Somewhat conservative,Other,Rent,No,Somewhat serious,Strongly support,Strongly support,Somewhat support,Not too concerned,Somewhat support,Somewhat support,Build more homes even if neighborhoods change
NVH00655,sms,complete,Failed,534,Clark,Clark,28,Male,Asian/Pacific Islander,College graduate,Independent/Other,Moderate,Harris,Rent,Yes,Very serious,Strongly support,Strongly support,Not sure,Very concerned,Somewhat support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00656,online,complete,Passed,195,Clark,Clark,40,Female,Hispanic/Latino,High school or less,Democrat,Moderate,Harris,Own,No,Somewhat serious,Somewhat oppose,Strongly support,Somewhat support,Somewhat concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00657,online,complete,Passed,1177,Clark,Clark,62,Male,Hispanic/Latino,High school or less,Republican,Very conservative,Trump,Own,No,Somewhat serious,Strongly oppose,Somewhat support,Somewhat support,Very concerned,Somewhat oppose,Strongly oppose,Not sure
NVH00658,online,complete,Passed,1116,Clark,Clark,29,Female,Hispanic/Latino,High school or less,Independent/Other,Somewhat conservative,Harris,Own,Yes,Very serious,Somewhat support,Somewhat oppose,Strongly support,Not too concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00659,online,complete,Passed,1115,Washoe,Washoe,51,Female,Hispanic/Latino,College graduate,Independent/Other,Somewhat liberal,Harris,Own,No,Very serious,Somewhat support,Somewhat oppose,Somewhat support,Not too concerned,Strongly support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00660,online,complete,Passed,536,Washoe,Washoe,65,Female,Asian/Pacific Islander,College graduate,Independent/Other,Moderate,Trump,Own,No,Somewhat serious,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat concerned,Strongly support,Somewhat support,Not sure
NVH00661,online,complete,Passed,1244,Clark,Clark,33,Male,White non-Hispanic,College graduate,Democrat,Moderate,Did not vote,Own,Yes,Somewhat serious,Somewhat support,Somewhat support,Strongly support,Not too concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00662,sms,complete,Passed,285,Washoe,Washoe,80,Male,Hispanic/Latino,Postgraduate,Democrat,Very liberal,Harris,Own,No,Somewhat serious,Somewhat oppose,Strongly support,Somewhat support,Very concerned,Somewhat support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00663,online,partial,Passed,1416,Washoe,Washoe,78,Female,White non-Hispanic,College graduate,Republican,Very conservative,Trump,Own,No,Very serious,Strongly oppose,Strongly oppose,Somewhat support,Somewhat concerned,Strongly support,Somewhat oppose,Not sure
NVH00664,sms,complete,Passed,485,Clark,Clark,61,Male,White non-Hispanic,College graduate,Democrat,Somewhat conservative,Harris,Own,Yes,Very serious,Strongly support,Strongly support,Strongly oppose,Not too concerned,Somewhat support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00665,online,complete,Passed,825,Clark,Clark,21,Male,Black,High school or less,Democrat,Moderate,Harris,Own,No,Very serious,Strongly support,Somewhat support,Not sure,Very concerned,Somewhat oppose,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00666,online,partial,Passed,320,Clark,Clark,29,Male,Black,College graduate,Democrat,Somewhat liberal,Harris,Own,Yes,Very serious,Somewhat oppose,Somewhat support,Strongly support,Somewhat concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00667,online,complete,Passed,555,Clark,Clark,43,Male,White non-Hispanic,College graduate,Independent/Other,Somewhat conservative,Trump,Own,No,Very serious,Somewhat oppose,Somewhat support,Somewhat support,Very concerned,Somewhat support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00668,online,complete,Passed,600,Clark,Clark,39,Female,White non-Hispanic,College graduate,Democrat,Somewhat conservative,Harris,Rent,Yes,Somewhat serious,Strongly support,Strongly support,Strongly support,Somewhat concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
